dwd_dsc_d365_contract_df.id,dwd_dsc_d365_contract_df.sfdhl_contract_customerlegalentity,dwd_dsc_d365_contract_df.sfdhl_scope_text,dwd_dsc_d365_contract_df.sfdhl_contract_term,dwd_dsc_d365_contract_df.sfdhl_contract_contracttype,dwd_dsc_d365_contract_df.sfdhl_contract_startdate,dwd_dsc_d365_contract_df.sfdhl_contract_nextendbreakdate,dwd_dsc_d365_contract_df.sfdhl_contract_countryareaname,dwd_dsc_d365_contract_df.sfdhl_contract_additionallocations,dwd_dsc_d365_contract_df.sfdhl_legal_contactname,dwd_dsc_d365_contract_df.sfdhl_finance_managername,dwd_dsc_d365_contract_df.sfdhl_operation_managername,dwd_dsc_d365_contract_df.sfdhl_contract_costcenter,dwd_dsc_d365_contract_df.sfdhl_other_deviations_from_commercialexpect,dwd_dsc_d365_contract_df.sfdhl_contract_anyliquidateddamagespenalty,dwd_dsc_d365_contract_df.sfdhl_contract_liabilitycap,dwd_dsc_d365_contract_df.sfdhl_contraact_earlyterminationresourceinvest,dwd_dsc_d365_contract_df.sfdhl_contract_contracttermrelated,dwd_dsc_d365_contract_df.sfdhl_contract_sfdscnoticeperioddays,dwd_dsc_d365_contract_df.sfdhl_contract_anyauditrightsfdsc,dwd_dsc_d365_contract_df.sfdhl_contract_diectlossotherthancaliabilitycap,dwd_dsc_d365_contract_df.sfdhl_contract_earlytermination,dwd_dsc_d365_contract_df.sfdhl_contract_anyreimbursementfromthecustomer,dwd_dsc_d365_contract_df.createdon,dwd_dsc_d365_contract_df.modifiedon
2.不可保风险：,,,,,,,,,,,,,,,,,,,,,,,,
a) SF DSC的物流责任保险不赔偿存货盘点损失和/或神秘失踪。,,,,,,,,,,,,,,,,,,,,,,,,
b) SF DSC的物流责任保险不赔偿违约金和/或KPI罚金。,,,,,,,,,,,,,,,,,,,,,,,,
c) SF DSC的保险不赔偿违反保密义务的责任。,,,,,,,,,,,,,,,,,,,,,,,,
d) SF DSC的保险不赔偿违反廉洁诚信/反贪污受贿义务的责任。,各自原合同的KPI考核标准及罚则。,,,未提及,未提及,客户有权（任何十二个月期间不超过一次）对SF DHL的账簿、记录和账目进行审计，这种审计的唯一目的是确认乙方在向甲方提供服务过程中是否遵守：（i）本协议的条款及条件；及《附件十：SF DHL纪律守则》。,"乙方的赔偿责任，每个索赔或系列索赔额不得超过RMB 1,000,000元，且双方进一步明确并同意，在任何情况下，乙方在本协议项下每一个日历年（指从某一日历年的1月1日起至12月31日止的期间）向甲方提供的服务全年累计赔偿合计不超过RMB 8,000,000元。",,就因甲方全部或部分解除本协议而相应全部或部分退租仓库进而导致乙方应向出租方赔偿的部分，甲方应向乙方补偿的金额以乙方实际向出租方支付的为准，但最高不超过根据甲方事先书面确认同意的租赁协议中退租赔偿条款计算的赔偿金额。,2020-09-16T05:34:42.0000000+00:00,2021-11-06T04:59:29Z,,,,,,,,,,,,,
c66195ae-f384-4bfb-87f6-17f2c81a243c,易派客电子商务（海南）有限公司,Transportation,6.0,264270000,2020-07-01T00:00:00Z,2020-12-31T00:00:00Z,Mainland China,,Stella Sun SY,Eva Gao,Pengpeng Liu,,Legal Concerns：,,,,,,,,,,,
1.	赔偿责任（未约定赔偿责任限额，未约定赔偿计价基础，未排除间接损失）。,,,,,,,,,,,,,,,,,,,,,,,,
2.	提前解除（合同未约定SF DSC可提前终止合同）。,,,,,,,,,,,,,,,,,,,,,,,,
3.	投资补偿（合同未约定合同终止或期满客户会对SF DSC的投资进行补偿）。,,,,,,,,,,,,,,,,,,,,,,,,
4.	其他法律风险提示：,,,,,,,,,,,,,,,,,,,,,,,,
1）	合同未排除产品质量责任。,,,,,,,,,,,,,,,,,,,,,,,,
2）	合同未约定有效期。,,,,,,,,,,,,,,,,,,,,,,,,
3）	第九条第2款应是无论SF DSC是否有过错都不承担的不可抗力、货物自然属性、合理损耗的责任。,,,,,,,,,,,,,,,,,,,,,,,,
4）	SF DSC开发票受限于客户的确认，合同提到客户需在5个工作日内完成确认并通知SF DSC开具增值税发票，但合同没提到若客户超过5个工作日未确认会如何。,,,,,,,,,,,,,,,,,,,,,,,,
5）	口岸业务条款请项目组看下是否可实现。,,,,,,,,,,,,,,,,,,,,,,,,
RM Comments:,,,,,,,,,,,,,,,,,,,,,,,,
1.赔偿责任：,,,,,,,,,,,,,,,,,,,,,,,,
"a）合同未约定赔偿责任上限，但是单次运输货物的最大货值CNY 30,000 在TS物流责任保险的免赔额（每次事故CNY 100,000）以下，所以所有的货物损失赔偿将由分承包商和/或BG的P&L自行承担。",,,,,,,,,,,,,,,,,,,,,,,,
"b）对于报关服务，合同未约定赔偿责任上限，即TS须对由于自身过失或过错导致的客户损失承担无限赔偿责任；而TS的物流责任保险仅能赔偿客户的直接损失，且最多只能承担到每次事故及累计CNY 10,000,000。",,,,,,,,,,,,,,,,,,,,,,,,
2.赔偿计价基础：,,,,,,,,,,,,,,,,,,,,,,,,
合同未明确约定货物损失赔偿的计价基础，所以在将来处理索赔的时候可能会引起不必要的争议。,,,,,,,,,,,,,,,,,,,,,,,,
3.不可保风险：,,,,,,,,,,,,,,,,,,,,,,,,
a）TS的物流责任保险不赔偿间接损失。,,,,,,,,,,,,,,,,,,,,,,,,
b）TS没有保险可以赔偿违反廉洁诚信/反贪污受贿义务的责任。,,,,,,,,,,,,,,,,,,,,,,,,
, 在乙方履约过程中发生的环保和安全事故、运输延误、货物短缺、损坏、不合理损耗、灭失、污染等违约或侵权事项，由乙方根据法律规定、本合同约定向甲方承担直接损失及其他法定或约定责任，赔偿责任不限于该票货物物流服务收取的服务费及该票货值。,,,未提及,Silent in contract,未提及,No cap。,,未提及,2020-09-16T07:51:25.0000000+00:00,2021-11-06T04:59:30Z,,,,,,,,,,,,,
7c8e3a2d-ef56-48f8-ab28-80139cdaa972,邯郸市永年区年裕交通设施有限公司,Transportation,12.0,264270000,2020-08-13T16:00:00Z,2021-08-12T16:00:00Z,Mainland China,,Stella Sun SY,Eva Gao,Pengpeng Liu,,Legal Concerns:,,,,,,,,,,,
1. 合同未约定若客户延迟付款，SF DSC可收取违约金或者SF DSC可中止服务。,,,,,,,,,,,,,,,,,,,,,,,,
答复：合同中有约定，详文如下：,,,,,,,,,,,,,,,,,,,,,,,,
【如超过信用账期，乙方有权收取违约金，违约金按日万分之五计算，违约金计算期间为自款项到期之日起至客户的款项付至乙方的帐户上之日为止，同时乙方有权因甲方未及时支付费用暂停服务。】,,,,,,,,,,,,,,,,,,,,,,,,
RM Comments:,,,,,,,,,,,,,,,,,,,,,,,,
1.不可保风险：,,,,,,,,,,,,,,,,,,,,,,,,
a) SF DSC的物流责任保险不赔偿违约金和/或KPI罚金。,,,,,,,,,,,,,,,,,,,,,,,,
b) SF DSC没有保险可以赔偿违反保密义务的责任。,合同未提及,,,乙方标志（指乙方或其任何关联方的商标、商号或其他名称（包括但不限于顺丰及其图形、文字等））的权利（含知识产权）归属乙方，未经乙方事先书面同意，甲方不可自行或允许他人对外披露与乙方的合作事宜及任何细节（甲方基于事实，在封闭商业行为中，在不负担与乙方的保密义务下，例如在招投标时真实、合理、适度地宣传除外），甲方也不可在任何生产、销售、宣传、出版中使用乙方的标志。甲方在向乙方沟通前述使用需求时，应当同时提交拟使用的材料供乙方审核。甲方违反前述约定的，乙方有权终止合作，并要求消除影响、赔礼道歉、赔偿乙方因此造成的全部损失及费用支出。,15天,无,未约定,,no,2020-09-16T07:55:18.0000000+00:00,2021-11-06T04:59:31Z,,,,,,,,,,,,,
8d03d6b9-32dd-4872-9c6a-38c9b0e71bf7,Yamato Logistics (Hong Kong) Limited,"Transportation,Warehousing",36.0,264270000,2020-09-01T00:00:00Z,2023-08-31T00:00:00Z,Hongkong,,Michelle Tsui,Michelle Hsu,,,RM Comments:,,,,,,,,,,,
1. Liability Limits:,,,,,,,,,,,,,,,,,,,,,,,,
"Liability Limit falls below SF DSC's Logistics Liability Insurance deductible, so all claims will go to Subcontractor(s) &/or BG's P&L directly.",,,,,,,,,,,,,,,,,,,,,,,,
2. Uninsurable Risks:,,,,,,,,,,,,,,,,,,,,,,,,
a) Inventory Shrinkage Loss &/or Mysterious Loss can not be covered by SF DSC's Logistics Liability Insurance.,,,,,,,,,,,,,,,,,,,,,,,,
b) Confidentiality Liability can not be covered by SF DSC's insurance.,,,,,,,,,,,,,,,,,,,,,,,,
c) Intellectual Property Liability can not be covered by SF DSC's insurance.,,,,,,,,,,,,,,,,,,,,,,,,
,No,,"Yes, Yamato shall promptly pay Supplier the amounts it owed to the Supplier until the date of such expiry or termination, plus followings:(a)	the employee redundancy costs; (b)	costs of dedicated assets and resources to the extent not depreciated or amortized; (c)	lease commitment costs as well as Warehouse reinstatement and dismantling costs;(d) 	reasonable costs and expenses that Supplier would continue to incur during the period of transition or winding down of operation as well as after the expiry or termination date as a result of commitments made by Supplier prior to such date;(e) 	profits which Supplier could have earned for the remaining term of the relevant Statement of Work but for such termination.","Each party acknowledges that all rights, title and interest in and to the other party's trademarks, trade names or other intellectual property rights (IP rights) belong to the other party, nothing in this agreement shall give a party any interest in the goodwill, reputation or otherwise relating to the other party's IP rights. each party shall at all times refrain from doing any act that may prejudice the validity of the other party's IP rights.",6 months,No,an annual aggregate maximum limit equivalent to 8% of SFSC-HK’s Fees generated from the Services under the relevant Statement of Work in the year in which the loss or damage occurred.,,"Yes, Yamato shall promptly pay Supplier the amounts it owed to the Supplier until the date of such expiry or termination, plus followings:(a)	the employee redundancy costs; (b)	costs of dedicated assets and resources to the extent not depreciated or amortized; (c)	lease commitment costs as well as Warehouse reinstatement and dismantling costs;(d) 	reasonable costs and expenses that Supplier would continue to incur during the period of transition or winding down of operation as well as after the expiry or termination date as a result of commitments made by Supplier prior to such date;(e) 	profits which Supplier could have earned for the remaining term of the relevant Statement of Work but for such termination.",2020-09-17T08:54:27.0000000+00:00,2021-11-06T04:59:31Z,,,,,,,,,,,,,
f87019b3-cef8-ea11-a815-000d3a851174,,,24.0,264270000,2019-01-01T00:00:00Z,2020-12-30T00:00:00Z,Mainland China,,Joy Jiang,,Rainy Gu,,,,,,,,,,,,2020-09-17T10:15:25.0000000+00:00,2021-08-19T06:02:14Z
c9921ec4-7af9-ea11-a815-000d3a851174,碧迪医疗器械（上海）有限公司,Other service,11.7,264270000,2020-09-21T00:00:00Z,2021-09-10T16:00:00Z,Mainland China,,Yajing Xi,Huifeng Zhou,Michelle Ye,,无,对于由客户原因导致的系统数据丢失、被盗、客户的计算机设备或网络故障、操作失误等情形所导致的损失，服务提供商不负违约或赔偿责任，但服务供应商将尽合理努力采取措施以帮助客户修复数据或减轻损失。,,,4.	客户与服务提供商就知识产权有关事宜约定如下：,,,,,,,
"4.1	除非服务提供商取得客户事先书面批准，服务提供商同意其不得使用“BECTON”、“DICKINSON”、“BD”、“BECTON, DICKINSON AND COMPANY”“碧迪（BECTON DICKINSON）”、“碧迪医疗器械（上海）有限公司（BECTON DICKINSON MEDICAL DEVICE (SHANGHAI) CO., LTD.）”名称或者类似标志或者标记、或者任何由碧迪或BD集团任一公司拥有和/或使用、或者与本协议项下服务有关的其他字号、商标、版权、徽章、设计、域名和任何其他知识产权（以下统称“碧迪知识产权”）。如果取得该等批准，在本协议期限届满或者终止时，服务提供商应立即停止该等使用，并向客户交送包含碧迪知识产权的所有文件以及其他材料。",,,,,,,,,,,,,,,,,,,,,,,,
4.2	为履行本协议之目的，如客户许可服务提供商使用一项或多项碧迪知识产权，则客户授予服务提供商的是一项有限的、可撤销的、非排他性的、不可转让的、不可分许可的许可。根据该许可，供应商可仅为其按本协议和客户提供的规格要求之目的，使用碧迪知识产权。服务提供商同意遵守客户有关碧迪知识产权的使用指示、指引、通知。客户对碧迪知识产权保留本协议中未以明示方式授予的一切权利。服务提供商不得实施将会或者有合理可能会对碧迪知识产权产生不利影响的任何行为。在任何情形下，服务提供商均不得取得碧迪知识产权的任何权利、权属或者利益，除非另有明确约定。,,,,,,,,,,,,,,,,,,,,,,,,
4.3	一旦本协议因任何原因终止，服务提供商同意不再继续使用任何被许可的碧迪知识产权，所赋予的关于碧迪知识产权的一切权利将回归客户。供应商同意不使用任何与碧迪知识产权相似的或可能被误解为与碧迪知识产权相似的其他文字、商标、服务标记、品牌、商号、设计、标识或类似事物，亦不注册任何与碧迪知识产权相似的或可能被误解为与碧迪知识产权相似的域名或获得任何与碧迪知识产权相似的或可能被误解为与碧迪知识产权相似的域名许可。供应商同意不提出异议或否定碧迪知识产权的有效性，亦不提出异议或否定客户对碧迪知识产权的专有权益。如果服务提供商知晓未曾被客户授予碧迪知识产权使用权利的任何实体或个人对碧迪知识产权的任何实际的或意图的侵权、仿造或模仿，则服务提供商同意在发现后随即书面告知客户。,,,,,,,,,,,,,,,,,,,,,,,,
4.4	客户同意，与服务提供商的商号、商标、与本协议项下服务相关的计算机软件版权、和/或其他知识产权相关的所有权利、所有权和利益均属于服务提供商所有。本协议并不授予客户与商誉、名誉、版权、和/或其他知识产权相关的任何权益。客户无论何时均不应从事任何有损于服务提供商知识产权效力的行为。,,,,,,,,,,,,,,,,,,,,,,,,
,否,无,"服务提供商在本协议项下应向客户承担的所有赔偿责任（包括违约金、罚款等）每个合同年度累计赔偿总额应不超过人民币【50,000】元",,客户无需承担解除本协议的责任，亦无需向服务提供商支付任何解除本协议的违约金、赔偿金或费用,2020-09-18T06:47:08.0000000+00:00,2021-11-06T04:59:32Z,,,,,,,,,,,,,,,,,
15e5a79a-7df9-ea11-a815-000d3a851174,Yamato Logistics (Hong Kong) Limited,"Transportation,Warehousing",36.0,264270000,2020-09-01T00:00:00Z,2023-08-30T16:00:00Z,Hongkong,,Michelle Tsui,Michelle Hsu,,,RM Comments:,,,,,,,,,,,
1. Liability Limits:,,,,,,,,,,,,,,,,,,,,,,,,
"Liability Limit falls below SF DSC's Logistics Liability Insurance deductible, so all claims will go to Subcontractor(s) &/or BG's P&L directly.",,,,,,,,,,,,,,,,,,,,,,,,
2. Uninsurable Risks:,,,,,,,,,,,,,,,,,,,,,,,,
a) Inventory Shrinkage Loss &/or Mysterious Loss can not be covered by SF DSC's Logistics Liability Insurance.,,,,,,,,,,,,,,,,,,,,,,,,
b) Confidentiality Liability can not be covered by SF DSC's insurance.,,,,,,,,,,,,,,,,,,,,,,,,
c) Intellectual Property Liability can not be covered by SF DSC's insurance.,,,,,,,,,,,,,,,,,,,,,,,,
,No,,"Yes, Yamato shall promptly pay Supplier the amounts it owed to the Supplier until the date of such expiry or termination, plus followings:(a)	the employee redundancy costs; (b)	costs of dedicated assets and resources to the extent not depreciated or amortized; (c)	lease commitment costs as well as Warehouse reinstatement and dismantling costs;(d) 	reasonable costs and expenses that Supplier would continue to incur during the period of transition or winding down of operation as well as after the expiry or termination date as a result of commitments made by Supplier prior to such date;(e) 	profits which Supplier could have earned for the remaining term of the relevant Statement of Work but for such termination.","Each party acknowledges that all rights, title and interest in and to the other party's trademarks, trade names or other intellectual property rights (IP rights) belong to the other party, nothing in this agreement shall give a party any interest in the goodwill, reputation or otherwise relating to the other party's IP rights. each party shall at all times refrain from doing any act that may prejudice the validity of the other party's IP rights.",6 months,No,an annual aggregate maximum limit equivalent to 8% of SFSC-HK’s Fees generated from the Services under the relevant Statement of Work in the year in which the loss or damage occurred.,,"Yes, Yamato shall promptly pay Supplier the amounts it owed to the Supplier until the date of such expiry or termination, plus followings:(a)	the employee redundancy costs; (b)	costs of dedicated assets and resources to the extent not depreciated or amortized; (c)	lease commitment costs as well as Warehouse reinstatement and dismantling costs;(d) 	reasonable costs and expenses that Supplier would continue to incur during the period of transition or winding down of operation as well as after the expiry or termination date as a result of commitments made by Supplier prior to such date;(e) 	profits which Supplier could have earned for the remaining term of the relevant Statement of Work but for such termination.",2020-09-18T07:07:28.0000000+00:00,2021-11-06T04:59:33Z,,,,,,,,,,,,,
3a04b054-3e65-40f7-8142-82037ba7412e,中国移动通信集团终端有限公司云南分公司,Transportation,3.0,264270000,2021-01-01T00:00:00Z,2021-03-30T16:00:00Z,Mainland China,,Weilian Ouyang,Nancy Zhong,Bo Zhou,,法务意见：,,,,,,,,,,,
1、	赔偿责任：,,,,,,,,,,,,,,,,,,,,,,,,
（1）无赔偿上限，计价基础为销售价（含利润）的100%；,,,,,,,,,,,,,,,,,,,,,,,,
（2）未提及间接损失排除，且明确赔偿实际损失（包括可得利益、法律费用）；,,,,,,,,,,,,,,,,,,,,,,,,
（3）赔偿时限较严格，小额（价值一万元内）时效为7个工作日，大额赔付时效不超过1个月。,,,,,,,,,,,,,,,,,,,,,,,,
2、	无理由提前解约：,,,,,,,,,,,,,,,,,,,,,,,,
SF DSC无提前解约权。但合同达到上限（20万），客户有权提前解约。,,,,,,,,,,,,,,,,,,,,,,,,
3、	投资补偿：,,,,,,,,,,,,,,,,,,,,,,,,
合同条款未提及投资补偿。请BG确认是否有前期投资。,,,,,,,,,,,,,,,,,,,,,,,,
4、	逾期付款救济：,,,,,,,,,,,,,,,,,,,,,,,,
客户逾期付款，未赋予SF DSC暂停服务、终止合同的权利，但SF DSC可收取违约金。,,,,,,,,,,,,,,,,,,,,,,,,
5、	其他法律风险提示：,,,,,,,,,,,,,,,,,,,,,,,,
1）乙方负责货物的运输保险，保费含在运输费用中，甲方不再另行支付保险费；,,,,,,,,,,,,,,,,,,,,,,,,
2）甲方有权直接在付款中扣除违约金、赔偿；,,,,,,,,,,,,,,,,,,,,,,,,
3）有KPI考核，请BG注意。,,,,,,,,,,,,,,,,,,,,,,,,
4）多项违约金：,,,,,,,,,,,,,,,,,,,,,,,,
	违反保密义务：合同上限的2%；,,,,,,,,,,,,,,,,,,,,,,,,
	未按约定开具发票：合同上限的2%，违约金不足以弥补的，赔偿损失；情节严重的，客户有权终止合同，禁止SF DSC 2年内参加其他移动公司相同产品采购活动；,,,,,,,,,,,,,,,,,,,,,,,,
	发票不能抵扣的：税款作为违约金，违约金不足以弥补的，赔偿损失；情节严重的，客户有权终止合同。,,,,,,,,,,,,,,,,,,,,,,,,
风控意见：,,,,,,,,,,,,,,,,,,,,,,,,
鉴于合同无法修改，从保险及风险角度，请参考以下意见：,,,,,,,,,,,,,,,,,,,,,,,,
"1．赔偿责任：对于运输服务，合同未约定赔偿责任上限，即SF DSC须对货物损失承担全额赔偿责任；但是鉴于单次运输货物的最大货值为CNY 30,000，在SF DSC物流责任保险的免赔额（每次事故CNY 100,000）以下，所以所有的货物损失赔偿将由分承包商和/或BG的P&L自行承担。",,,,,,,,,,,,,,,,,,,,,,,,
2．赔偿计价基础：合同约定的货物损失赔偿的计价基础为“货物买断销售价的100%”，其中包含了客户的销售利润，而销售利润属于“间接损失”，由SF DSC承担不合理。,,,,,,,,,,,,,,,,,,,,,,,,
3．理赔要求： 合同约定“赔偿时效，小额（价值一万元内）时效为7个工作日”的理赔时限要求不合理，因为“7个工作日”有可能双方还未能对赔偿金额达成一致，且SF DSC内部申请付款也需要时间。,,,,,,,,,,,,,,,,,,,,,,,,
4．保险要求：对于运输货物，合同约定SF DSC须为客户代为购买货物运输保险；经与业务部门确认，此保险将由分承包商负责购买。,,,,,,,,,,,,,,,,,,,,,,,,
5．不可保风险：,,,,,,,,,,,,,,,,,,,,,,,,
a) SF DSC的物流责任保险不赔偿间接损失,,,,,,,,,,,,,,,,,,,,,,,,
b) SF DSC的物流责任保险不赔偿违约金和/或KPI罚金。,,,,,,,,,,,,,,,,,,,,,,,,
c) SF DSC没有保险可以赔偿违反保密义务的责任,,,,,,,,,,,,,,,,,,,,,,,,
d) SF DSC没有保险可以赔偿违反廉洁诚信/反贪污受贿义务的责任,,,,,,,,,,,,,,,,,,,,,,,,
,赔偿时限较严格，小额（价值一万元内）时效为7个工作日，大额赔付时效不超过1个月。,,,,,,,,,,,,,,,,,,,,,,,
（一）当月考核得分98分（含）以上为优秀，按当月实际发生费用足额结算；,,,,,,,,,,,,,,,,,,,,,,,,
（二）当月考核得分75分（含）-98分以下线性得分，当月实际结算费用=当月应结费用*（1-（98-得分）*0.5/23）,,,,,,,,,,,,,,,,,,,,,,,,
（三）当月考核得分小于75分为不合格，当月实际结算费用=当月应结费用*50%；,,,,,,,,,,,,,,,,,,,,,,,,
（五）连续三个月考核成绩不合格，甲方有权终止合同。,,,,,,,,,,,,,,,,,,,,,,,,
违约金：,,,,,,,,,,,,,,,,,,,,,,,,
	违反保密义务：合同上限的2%；,,,,,,,,,,,,,,,,,,,,,,,,
	未按约定开具发票：合同上限的2%，违约金不足以弥补的，赔偿损失；情节严重的，客户有权终止合同，禁止SF DSC 2年内参加其他移动公司相同产品采购活动；,,,,,,,,,,,,,,,,,,,,,,,,
	发票不能抵扣的：税款作为违约金，违约金不足以弥补的，赔偿损失；情节严重的，客户有权终止合同；,,,,,,,,,,,,,,,,,,,,,,,,
,,,合同未提及,不适用,合同未提及,无上限,,不适用,2020-09-21T01:04:25.0000000+00:00,2021-11-06T04:59:33Z,,,,,,,,,,,,,,
3f59d96d-bda8-4721-b216-b81d31cf7d81,欧派家居集团股份有限公司,Transportation,23.58,264270000,2020-10-14T00:00:00Z,2022-09-29T16:00:00Z,Mainland China,,,,,,RM Comments：,,,,,,,,,,,
附件缺失，还请后续提供审核。针对主协议，意见如下：,,,,,,,,,,,,,,,,,,,,,,,,
1..赔偿责任：,,,,,,,,,,,,,,,,,,,,,,,,
"a)对于运输服务，合同未约定赔偿责任上限，即SF DSC须对货物损失承担全额赔偿责任；但是鉴于单次运输货物的最大货值不超过CNY5,000,000，SF DSC的物流责任保险可以对货物损失超过免赔额（每次事故CNY 100,000）的部分全额赔偿。",,,,,,,,,,,,,,,,,,,,,,,,
"b)对于仓储服务，合同未约定赔偿责任上限，即SF DSC须对货物损失承担全额赔偿责任；但是鉴于仓储货物的最大货值为CNY100,000,000左右，SF DSC的物流责任保险可以对货物损失超过免赔额（每次事故CNY 100,000或损失金额的10%，以高者为准）的部分全额赔偿。",,,,,,,,,,,,,,,,,,,,,,,,
2.保险要求：,,,,,,,,,,,,,,,,,,,,,,,,
合同要求“15.6 乙方需要为干线运输车辆购买货物运输险；15.7 乙方需为甲方货物购买仓库险；”，据沟通，货物运输保险以及存货财产保险会相应让供应商购买，后续还请供应商提供相应保单以供审核。,,,,,,,,,,,,,,,,,,,,,,,,
3、 不可保风险：,,,,,,,,,,,,,,,,,,,,,,,,
a）SF DSC的物流责任保险不赔偿间接损失。,,,,,,,,,,,,,,,,,,,,,,,,
b）SF DSC的物流责任保险不赔偿违约金和/或KPI罚金。,,,,,,,,,,,,,,,,,,,,,,,,
法务意见：,,,,,,,,,,,,,,,,,,,,,,,,
针对合同条款，从法务角度提示如下风险：,,,,,,,,,,,,,,,,,,,,,,,,
1、	赔偿责任：,,,,,,,,,,,,,,,,,,,,,,,,
（1）合同未约定赔偿责任上限；,,,,,,,,,,,,,,,,,,,,,,,,
（2）未排除间接损失；,,,,,,,,,,,,,,,,,,,,,,,,
（3）货损赔偿以欧派客户产品出厂成本价格赔偿，且责任判定的权力在于欧派;,,,,,,,,,,,,,,,,,,,,,,,,
（4）对于仓储服务，合同未约定库存公差。,,,,,,,,,,,,,,,,,,,,,,,,
2、	提前终止：,,,,,,,,,,,,,,,,,,,,,,,,
（1）合同未约定各方的无理由提前解约权，但若SF DSC未经欧派同意提前终止合同，保证金将不予退还并且客户有权要求SF DSC支付20万元作为违约金，若违约金无法弥补客户损失，客户有权要求SF DSC继续承担赔偿责任。,,,,,,,,,,,,,,,,,,,,,,,,
（2）合同约定了由于SF DSC违约导致欧派提前解约的情形以及相应的违约责任。,,,,,,,,,,,,,,,,,,,,,,,,
3、	合同未约定欧派对SF DSC投资的补偿。,,,,,,,,,,,,,,,,,,,,,,,,
4、	逾期付款救济：针对欧派逾期付款，合同中未明确约定违约责任或SF DSC可采取的救济措施。,,,,,,,,,,,,,,,,,,,,,,,,
5、	其他法律风险提示：,,,,,,,,,,,,,,,,,,,,,,,,
（1）欧派要求SF DSC支付履约保证金（20万元人民币）。若遇SF DSC应承担的违约或赔偿责任，欧派有权从应付费用或履约保证金中扣除。保证金条款需征得财务的批准。,,,,,,,,,,,,,,,,,,,,,,,,
（2）合同中约定了各种违约情形以及相应的违约金。,,,,,,,,,,,,,,,,,,,,,,,,
（3）费用结算需以欧派确认为前提。,,,,,,,,,,,,,,,,,,,,,,,,
（4）欧派要求仓库需由SF DSC或与SF DSC关联的子公司承租。,,,,,,,,,,,,,,,,,,,,,,,,
（5）SF DSC被要求放弃留置权。,,,,,,,,,,,,,,,,,,,,,,,,
（6）合同附件文件（例如：附件5运损判定及丢货补单流程）尚未附上，需向客户要求提供。,,,,,,,,,,,,,,,,,,,,,,,,
,合同中约定了各种违约情形以及设置违约金，例如：在合同履行的一个自然年内，如发生乙方事实拒运，第一次扣罚5000元，第二次扣罚10000元，第三次甲方有权无条件单方无责解除合同。处罚从乙方运费中扣除,,,无,,合同未提及,无,,,2020-09-22T07:18:50.0000000+00:00,2020-12-08T08:36:42Z,,,,,,,,,,,,,
263d9443-f34b-4c0b-a975-06218a6496fa,上海顺衡物流有限公司上海顺啸丰运输有限公司,Transportation,12.0,264270000,2020-06-01T00:00:00Z,2021-05-31T00:00:00Z,Mainland China,,Joy Jiang,Eva Gao,Yolanda Wang,,法务：,,,,,,,,,,,
1、	赔偿责任：,,,,,,,,,,,,,,,,,,,,,,,,
（1）	赔偿上限：在本合同有效期内，乙方在本合同项下承担的赔偿责任累计不超过人民币1500万元，但因乙方故意或重大过失导致的人身损害以及法律另有规定的除外。,,,,,,,,,,,,,,,,,,,,,,,,
（2）	计价基础：货物清单价格，或RMB 3000元/箱；,,,,,,,,,,,,,,,,,,,,,,,,
（3）	未提及排除间接损失，将以法律约定赔偿可得利益在内的间接损失；,,,,,,,,,,,,,,,,,,,,,,,,
（4）	因不可抗力事件导致货物发生丢失、破损、污损等情况时，SF DSC仍应按照本合同相关约定对甲方进行赔偿；,,,,,,,,,,,,,,,,,,,,,,,,
（5）	赔偿须在客户通知后10内完成。,,,,,,,,,,,,,,,,,,,,,,,,
2、	无理由提前解约：,,,,,,,,,,,,,,,,,,,,,,,,
客户单方享有该权利，通知期30天。,,,,,,,,,,,,,,,,,,,,,,,,
3、	投资补偿：,,,,,,,,,,,,,,,,,,,,,,,,
未提及投资补偿。,,,,,,,,,,,,,,,,,,,,,,,,
4、	逾期付款救济：,,,,,,,,,,,,,,,,,,,,,,,,
客户逾期付款时，合同条款未赋予SF DSC暂停服务、终止合同、收取违约金的权利。,,,,,,,,,,,,,,,,,,,,,,,,
5、	其他法律风险提示：,,,,,,,,,,,,,,,,,,,,,,,,
（1）	SF DSC不得以任何方式为任何第三方提供与甲方享有知识产权的货物相同或近似的货物提供运输服务，否则甲方有权立即解除本合同，要求乙方按照双方前一年运费总额（或若双方前一年未有合作，按照本合同预估运费总额）的三倍金额向甲方支付违约金，如该等违约金无法弥补甲方损失的，甲方还有权继续向乙方追偿。此处约定范围不明确，将给SF DSC接洽其他服装类物流业务造成障碍。,,,,,,,,,,,,,,,,,,,,,,,,
（2）	分包需经客户同意，请遵守；,,,,,,,,,,,,,,,,,,,,,,,,
（3）	违反商业贿赂政策的，违约金高达100万；违反保密条款的，违约金100万；,,,,,,,,,,,,,,,,,,,,,,,,
（4）	违约金、赔偿金等客户有权在应付SF DSC款项中直接扣除。,,,,,,,,,,,,,,,,,,,,,,,,
风险管理部意见：,,,,,,,,,,,,,,,,,,,,,,,,
