dwd_dsc_d365_opportunity_df.opportunity_number,dwd_dsc_d365_opportunity_df.opportunity_name,dwd_dsc_d365_opportunity_df.account_id,dwd_dsc_d365_opportunity_df.account_name_en,dwd_dsc_d365_opportunity_df.account_name_cn,dwd_dsc_d365_opportunity_df.actual_close_date,dwd_dsc_d365_opportunity_df.annual_average_gross_profit_base,dwd_dsc_d365_opportunity_df.annual_average_gross_profit,dwd_dsc_d365_opportunity_df.annual_average_revenue_base,dwd_dsc_d365_opportunity_df.annual_average_revenue,dwd_dsc_d365_opportunity_df.bca_ref_number,dwd_dsc_d365_opportunity_df.bca_status,dwd_dsc_d365_opportunity_df.bg,dwd_dsc_d365_opportunity_df.commission,dwd_dsc_d365_opportunity_df.contract_end_date,dwd_dsc_d365_opportunity_df.contract_renewal_date,dwd_dsc_d365_opportunity_df.contract_termin_month,dwd_dsc_d365_opportunity_df.contract_term,dwd_dsc_d365_opportunity_df.expected_gain_date,dwd_dsc_d365_opportunity_df.expected_golive_date,dwd_dsc_d365_opportunity_df.gp_prior_year_total,dwd_dsc_d365_opportunity_df.is_proj_mgmt_required,dwd_dsc_d365_opportunity_df.milestone,dwd_dsc_d365_opportunity_df.next_renewal_date,dwd_dsc_d365_opportunity_df.operating_golive_date,dwd_dsc_d365_opportunity_df.opportunity_category,dwd_dsc_d365_opportunity_df.opportunity_creator,dwd_dsc_d365_opportunity_df.opportunity_record,dwd_dsc_d365_opportunity_df.reference_number,dwd_dsc_d365_opportunity_df.opportunity_type,dwd_dsc_d365_opportunity_df.pm_name,dwd_dsc_d365_opportunity_df.product1,dwd_dsc_d365_opportunity_df.product2,dwd_dsc_d365_opportunity_df.product3,dwd_dsc_d365_opportunity_df.product4,dwd_dsc_d365_opportunity_df.cancel_reason,dwd_dsc_d365_opportunity_df.loss_reason,dwd_dsc_d365_opportunity_df.revenue_prior_year_total,dwd_dsc_d365_opportunity_df.salesperson1_pct,dwd_dsc_d365_opportunity_df.salesperson2_pct,dwd_dsc_d365_opportunity_df.salesperson3_pct,dwd_dsc_d365_opportunity_df.salesperson4_pct,dwd_dsc_d365_opportunity_df.salesperson5_pct,dwd_dsc_d365_opportunity_df.salesperson6_pct,dwd_dsc_d365_opportunity_df.salesperson1,dwd_dsc_d365_opportunity_df.salesperson2,dwd_dsc_d365_opportunity_df.salesperson3,dwd_dsc_d365_opportunity_df.salesperson4,dwd_dsc_d365_opportunity_df.salesperson5,dwd_dsc_d365_opportunity_df.salesperson6,dwd_dsc_d365_opportunity_df.sector,dwd_dsc_d365_opportunity_df.subsector,dwd_dsc_d365_opportunity_df.situation_update_next_steps,dwd_dsc_d365_opportunity_df.situation_updated_time,dwd_dsc_d365_opportunity_df.strategic_project,dwd_dsc_d365_opportunity_df.terminate_effective_date,dwd_dsc_d365_opportunity_df.territory,dwd_dsc_d365_opportunity_df.contract_value,dwd_dsc_d365_opportunity_df.currency,dwd_dsc_d365_opportunity_df.description,dwd_dsc_d365_opportunity_df.createdon,dwd_dsc_d365_opportunity_df.modifiedon,dwd_dsc_d365_opportunity_df.bca_approval_date,dwd_dsc_d365_opportunity_df.src_inc_day,dwd_dsc_d365_opportunity_df.contract_signing_approvedon,dwd_dsc_d365_opportunity_df.compliance,dwd_dsc_d365_opportunity_df.non_compliance_reason,dwd_dsc_d365_opportunity_df.fivem_customer
Z001695,Making use of SHE idle space,3afd21c4-eb2f-4eb0-89c8-0239f68ac7e2,Mars Wrigley Confectionary,玛氏 箭牌糖果,2020-01-17T00:00:00,39.0,5.0,46.8,6.0,BCA-95Q4KF,Awaiting Approval,,FALSE,,,3.0,3.0,2013-04-04T16:00:00Z,2013-04-08T16:00:00Z,,False,Contract Signed,,2013-04-08T16:00:00Z,,Xiaoyu Xu,,95Q4KF,New from New,,Warehousing,,,,,,,100.0,0.0,0.0,,,,,,,,,,Consumer,FMCG,BCAs submitted for approval. Get customer oral committment.,,,,China,,EUR,Making use of the idle space left in Mars slack season to store pallets temporarily,2020-01-12T08:22:12.0000000+00:00,2021-09-23T12:52:06Z,,20211017.0,,Y,,5M
Z002006,MARS Beijing whs contract 2016,3afd21c4-eb2f-4eb0-89c8-0239f68ac7e2,Mars Wrigley Confectionary,玛氏 箭牌糖果,2015-11-30T00:00:00,7085.0,7085.0,30948.0,30948.0,BCA-A2N2S7,Fully Approved,,FALSE,2016-12-30T16:00:00Z,2015-12-31T16:00:00Z,12.0,12.0,2015-11-29T16:00:00Z,2015-12-31T16:00:00Z,59501.0,False,Contract Signed,2016-12-31T16:00:00Z,2015-12-31T16:00:00Z,,Xiaoyu Xu,Change Renewals,A2N2S7,Renewal,,Warehousing,,,,,,3492260.0,100.0,,,,,,,,,,,,Consumer,FMCG,BCA has submitted for approval.,,,,China,,CNY,Mars warehouse contract renewal 2016,2020-01-12T08:30:19.0000000+00:00,2021-08-22T03:41:11Z,,20211017.0,,Y,,5M
Z003763,DRP from Hefei factory to Hefei CDC,f4cbdabd-6a3b-4684-a603-8c665909bb42,UNILEVER,联合利华,2020-01-15T00:00:00,3400.7999999999997,436.0,27144.0,3480.0,,,,FALSE,,,18.0,18.0,2014-03-26T16:00:00Z,2014-03-31T16:00:00Z,,False,Closed-Lost,,2014-03-31T16:00:00Z,,Xiaoyu Xu,,9G8BA7,New from New,,Transportation,,,,,Implementation lead time,,100.0,0.0,0.0,,,,,,,,,,Consumer,FMCG,prepare the quotation and proposal,,,,China,,EUR,Hefei DRP business,2020-01-12T09:48:09.0000000+00:00,2021-09-23T13:23:59Z,,20211017.0,,Y,,5M
Z009215,Renew_北京ACLP（原瑞幸项目办公室）仓储业务2020-2021,d5998a1c-c49f-ea11-a812-000d3a851174,Beijing Jinjianweiye Logistics,北京金剑伟业物流,,4.38,4.38,50.27,50.27,S211455,Approved,CR,FALSE,2022-02-27T16:00:00Z,2022-02-28T16:00:00Z,,7.61,2021-07-12T16:00:00Z,2021-07-12T16:00:00Z,,False,Shortlisted,2022-02-28T16:00:00Z,,450000.0,Rick Gong,Straightforward Renewals,,Renewal,,Warehousing,,,,,,,100.0,,,,,,Susy Shu (SF-DHL CN),,,,,,Consumer,FMCG,,,,,China,31.67,CNY,,2021-02-04T10:31:25.0000000+00:00,2021-08-22T04:44:58Z,2021-07-26T09:56:33Z,20211017.0,,Y,,Not 5M
Z004849,Implant support at NU SKin Tai Sang Warehouse,d2c45ccb-b17a-4e5f-914b-0a619246463b,NU Skin Enterprises,如新集团,2020-01-16T00:00:00,89.44,111.8,921.9200000000001,1152.4,,,HK,FALSE,,,6.0,6.0,2014-01-26T16:00:00Z,2014-01-30T16:00:00Z,,False,Closed-Canceled,,2014-01-30T16:00:00Z,,Xiaoyu Xu,,9DN6QL,New from Existing,,Warehousing,,,,,,,100.0,0.0,0.0,,,,CarmenSM Lo (SF-DHL HK),,,,,,Consumer,FMCG,Awaiting client verbal confirmation.,,,,Hongkong,,HKD,Implant labour services at NU Skin Tai Sang warehouse for 6 months from 16th Dec 13 before migration oto DSC Interlink site.,2020-01-16T03:25:36.0000000+00:00,2021-09-23T13:40:10Z,,20211017.0,,Y,,5M
Z004653,Nu Skin ILC Phase 1,d2c45ccb-b17a-4e5f-914b-0a619246463b,NU Skin Enterprises,如新集团,2020-01-17T00:00:00,1176.416,1470.52,8357.496000000001,10446.87,BCA-9GA5DH,Fully Approved,HK,FALSE,,,12.0,12.0,2014-07-20T16:00:00Z,2014-08-31T16:00:00Z,,False,Contract Signed,,2014-08-31T16:00:00Z,,Xiaoyu Xu,,9GA5DH,New from Existing,,Warehousing,,,,,,,100.0,0.0,0.0,,,,,,,,,,Consumer,FMCG,Contact Signed,,,,Hongkong,,HKD,Nu Skin ILC,2020-01-16T03:22:04.0000000+00:00,2021-09-23T13:36:04Z,,20211017.0,,Y,,5M
Z001652,BJS Mars two month temporary lease,3afd21c4-eb2f-4eb0-89c8-0239f68ac7e2,Mars Wrigley Confectionary,玛氏 箭牌糖果,2020-01-15T00:00:00,335.4,43.0,1552.2,199.0,BCA-8YL55H,Fully Approved,,FALSE,,,2.0,2.0,2012-11-27T16:00:00Z,2012-11-29T16:00:00Z,,False,Closed-Canceled,,2012-11-29T16:00:00Z,,Xiaoyu Xu,,8YL55H,New from New,,,,,,,,,,,,,,,,,,,,,Consumer,FMCG,BCA has been approved by management team,,,,China,,EUR,Two month lease to cater for Mars volume growth in BJS BALP Site,2020-01-12T08:21:15.0000000+00:00,2021-09-23T12:51:23Z,,20211017.0,,Y,,5M
Z001915,Linehaul with temperature control,3afd21c4-eb2f-4eb0-89c8-0239f68ac7e2,Mars Wrigley Confectionary,玛氏 箭牌糖果,2015-08-17T00:00:00,3536.0,3536.0,31014.0,31014.0,BCA-9V7DMN,Fully Approved,,FALSE,,,12.0,12.0,2015-08-16T16:00:00Z,2015-08-23T16:00:00Z,,False,Contract Signed,2015-08-12T16:00:00Z,2015-08-23T16:00:00Z,,Xiaoyu Xu,New Business,9V7DMN,New from New,,Transportation,,,,,,,100.0,0.0,0.0,,,,,,,,,,Consumer,FMCG,RFQ negotiation,,,,China,,CNY,Line-haul from 5RDCs for SF by tempature control,2020-01-12T08:27:54.0000000+00:00,2021-08-22T03:40:01Z,,20211017.0,,Y,,5M
Z008836,Renew_物流服务协议,a1b732de-b90e-4eef-960f-880f79b28bf0,Maxims,美心,2021-10-15T00:00:00,427.84,427.84,3460.68,3460.68,N200774,Approved,TD,FALSE,2021-10-30T16:00:00Z,2021-10-31T16:00:00Z,,12.0,2020-11-17T00:00:00Z,2020-11-01T00:00:00Z,,False,Contract Signed,2021-10-31T16:00:00Z,,530000.0,Fan Zou,Straightforward Renewals,,Renewal,,Transportation,,,,,,,100.0,,,,,,Andy Zhu (SF-DHL CN),,,,,,Consumer,FMCG,,,False,,China,3460.0,CNY,,2020-11-17T07:30:43.0000000+00:00,2021-10-15T05:55:08Z,2021-10-15T11:05:12Z,20211017.0,2021-10-15T05:54:43Z,N,3,Not 5M
Z004465,Local W&D service,7743981c-6ac5-4391-829d-8def9bfb263f,Universal Robina Corporation,环球罗比纳公司,2020-01-16T00:00:00,584.64,730.8,3897.6000000000004,4872.0,,,HK,FALSE,,,24.0,24.0,2016-12-30T16:00:00Z,2017-01-05T16:00:00Z,,False,Closed-Canceled,,2017-01-05T16:00:00Z,,Xiaoyu Xu,New Business,251120,New from New,,Warehousing,Transportation,,,,,,100.0,,,,,,,,,,,,Consumer,FMCG,,,,,Hongkong,,HKD,provision of standard warehouse and domestic transport service,2020-01-16T03:18:04.0000000+00:00,2021-09-23T13:32:59Z,,20211017.0,,Y,,Not 5M
Z001708,ICA temperature-controlled storage & delivery,f4cbdabd-6a3b-4684-a603-8c665909bb42,UNILEVER,联合利华,2013-09-13T00:00:00,1677.0,215.0,17635.8,2261.0,BCA-96U5P6,Fully Approved,TD,FALSE,2020-03-30T16:00:00Z,2020-03-31T16:00:00Z,27.0,27.0,2013-09-12T16:00:00Z,2017-12-31T16:00:00Z,,False,Contract Signed,2020-03-31T16:00:00Z,2013-09-30T16:00:00Z,,Xiaoyu Xu,,96U5P6,New from New,,Transportation,Warehousing,,,,,,0.0,0.0,0.0,,,,,,,,,,Consumer,FMCG,Proposal submitted,,,,China,5087.25,EUR,Storage of Unilever sauces in chilled warehouse and distribution to YUM DCs,2020-01-12T08:22:27.0000000+00:00,2021-08-22T03:37:24Z,,20211017.0,,Y,,5M
Z001936,Distribution delivery from 7RDCs,3afd21c4-eb2f-4eb0-89c8-0239f68ac7e2,Mars Wrigley Confectionary,玛氏 箭牌糖果,2015-08-17T00:00:00,1015.0,1015.0,10257.0,10257.0,BCA-9Y6LFU,Fully Approved,,FALSE,,,12.0,12.0,2015-08-16T16:00:00Z,2015-08-23T16:00:00Z,,False,Contract Signed,2015-08-12T16:00:00Z,2015-08-23T16:00:00Z,,Xiaoyu Xu,New Business,9Y6LFU,New from New,,Transportation,,,,,,,100.0,0.0,0.0,,,,,,,,,,Consumer,FMCG,RFQ negotiation,,,,China,,CNY,Distribution from 7RDC to DT and KA,2020-01-12T08:28:31.0000000+00:00,2021-08-22T03:40:16Z,,20211017.0,,Y,,5M
Z001255,Mars PC Trans Contract 20170801-20180731,3afd21c4-eb2f-4eb0-89c8-0239f68ac7e2,Mars Wrigley Confectionary,玛氏 箭牌糖果,2017-08-01T00:00:00,802.0,802.0,12861.0,12861.0,BCA-270323,Fully Approved,,FALSE,2018-07-30T16:00:00Z,2018-07-31T16:00:00Z,12.0,12.0,2017-07-31T16:00:00Z,2017-07-31T16:00:00Z,136900.0,False,Contract Signed,,2017-07-31T16:00:00Z,,Rick Gong,Straightforward Renewals,270320,Renewal,,Transportation,,,,,,2362300.0,100.0,,,,,,Rick Gong,,,,,,Consumer,FMCG,"Mars release the business award letter, waiting for contract. Contract archived (superseded) before opportunity completed. Moved to Contract Signed manually to complete the process",2020-01-12T00:00:02Z,,,China,,CNY,"This is Auto Renewed Opportunity, please provide valid Description",2020-01-12T08:00:02.0000000+00:00,2021-08-22T03:31:35Z,,20211017.0,,Y,,5M
Z001654,Mars Wuhan Site overflow,3afd21c4-eb2f-4eb0-89c8-0239f68ac7e2,Mars Wrigley Confectionary,玛氏 箭牌糖果,2020-02-20T00:00:00,234.0,30.0,1521.0,195.0,BCA-8Z54X2,Fully Approved,,FALSE,,,5.0,5.0,2013-01-06T16:00:00Z,2013-01-10T16:00:00Z,,False,Closed-Lost,,2013-01-10T16:00:00Z,,Amy Yuan,,8Z54X2,New from New,,Warehousing,,,,,,,100.0,0.0,0.0,,,,,,,,,,Consumer,FMCG,"Mars has confirmed our proposal by email and it is now in our biz approval process, have submitted BCA to management team",,,,China,,EUR,"Mars 2012 overflow demand in Wuhan Site (Temporary lease of 10,452sqm with Sifang Logistics)",2020-01-12T08:21:17.0000000+00:00,2021-09-23T12:51:26Z,,20211017.0,,Y,,5M
Z004779,Estee Lauder WH and TPT outsourcing,4f2b1590-be50-4345-96b0-a0cce55a014e,ESTEE LAUDER,雅诗兰黛,2020-01-16T00:00:00,1152.0,1440.0,11520.0,14400.0,,,HK,FALSE,,,36.0,36.0,2018-01-31T16:00:00Z,2018-07-31T16:00:00Z,,True,Closed-Canceled,,2018-07-31T16:00:00Z,,Xiaoyu Xu,New Business,266289,New from New,,Warehousing,Transportation,,,,,,100.0,,,,,,,,,,,,Consumer,FMCG,Submitted 1st proposal and awaiting customer comment,,,,Hongkong,,HKD,To provide outsource solution for ELC HK to support their growth from 2018 onwards,2020-01-16T03:24:20.0000000+00:00,2021-09-23T13:38:56Z,,20211017.0,,Y,,Not 5M
Z008577,warehouse&TD project,4e778805-39e8-ea11-a817-000d3a851174,Dr.Jart+,,,2000.0,2000.0,20000.0,20000.0,,,CR,FALSE,2022-10-31T00:00:00Z,2022-11-01T00:00:00Z,,36.0,2021-10-01T00:00:00Z,2022-11-01T00:00:00Z,,False,Early Lead,,,,Kevin Xu,New Business,,New from New,,Warehousing,Transportation,,,,,,100.0,,,,,,Kevin Xu (SF-DHL CN),,,,,,Consumer,FMCG,,,,,China,60000.0,CNY,,2020-08-27T07:55:42.0000000+00:00,2021-08-22T04:36:23Z,,20211017.0,,Y,,Not 5M
Z001584,Transportation from shenzhen to Beijing,e9f1ea4c-2ce7-4c53-a0f0-a05d52b37304,Longchi,龙驰,2020-01-17T00:00:00,54.6,7.0,257.4,33.0,BCA-8SDBF8,Fully Approved,,FALSE,,,12.0,12.0,2012-03-30T16:00:00Z,2012-03-31T16:00:00Z,,False,Contract Signed,,2012-03-31T16:00:00Z,,Xiaoyu Xu,,8SDBF8,New from New,,,,,,,,,,,,,,,,,,,,,Consumer,FMCG,Customer confirm the quotation and operation will be go live on April 1st.,,,,China,,EUR,Transportation from shenzhen to Beijing,2020-01-12T08:19:01.0000000+00:00,2021-09-23T12:50:16Z,,20211017.0,,Y,,Not 5M
Z002452,Mars World,3afd21c4-eb2f-4eb0-89c8-0239f68ac7e2,Mars Wrigley Confectionary,玛氏 箭牌糖果,2020-01-15T00:00:00,682.5,87.5,3412.5,437.5,,,,FALSE,,,24.0,24.0,2014-09-29T16:00:00Z,2014-11-24T16:00:00Z,,False,Closed-Lost,,2014-11-24T16:00:00Z,,Xiaoyu Xu,,9GUCMX,New from Existing,,Warehousing,Transportation,,,,,,,,0.0,,,,,,,,,,Consumer,FMCG,Proposal Development,,,,China,,EUR,Mars World,2020-01-12T09:21:41.0000000+00:00,2021-09-23T13:01:48Z,,20211017.0,,Y,,5M
Z009042,黑人牙膏业务,6d431ae5-5746-eb11-a812-000d3a85408a,DARLIE,好来化工（中山）有限公司,2021-07-01T00:00:00,,,,,,,CR,FALSE,,,,,2021-04-30T16:00:00Z,2021-05-14T16:00:00Z,,False,Closed-Canceled,,,450000.0,Hawkins He2,New Business,,New from New,,Warehousing,Transportation,,,None,SFDHL not competitive - cost base,,100.0,,,,,,Man Luo (SF-DHL CN),,,,,,Consumer,FMCG,,,False,,China,,CNY,,2020-12-25T03:13:15.0000000+00:00,2021-08-22T04:42:57Z,,20211017.0,,Y,,Not 5M
Z005438,SKOL Warehouse and Transportation Service,bea79001-d764-ea11-a811-000d3a85408a,People Almagor Marketing & Business Development,,2020-07-15T00:00:00,80.0,100.0,800.0,1000.0,,,HK,FALSE,2021-08-28T16:00:00Z,2021-08-29T16:00:00Z,12.0,12.0,2020-08-29T16:00:00Z,2020-08-29T16:00:00Z,,False,Closed-Canceled,,,,AlvinSC Chan,New Business,,New from New,,Warehousing,Transportation,,,None,,,100.0,,,,,,Meko Ho (SF-DHL HK),,,,,,Consumer,FMCG,,,,,Hongkong,,HKD,,2020-03-16T07:30:27.0000000+00:00,2021-08-22T04:24:20Z,,20211017.0,,Y,,Not 5M
Z009607,舌尖全国仓配,76d90369-3db1-eb11-8236-0022481634e0,Shejian Technology (Beijing) Co. Ltd.,舌尖科技（北京）有限公司,2021-07-09T00:00:00,500.0,500.0,5000.0,5000.0,,,CR,FALSE,2022-06-29T16:00:00Z,2022-06-30T16:00:00Z,,12.0,2021-06-30T16:00:00Z,2021-06-30T16:00:00Z,,False,Closed-Lost,2022-06-30T16:00:00Z,,450000.0,Rick Gong,New Business,,New from New,,Warehousing,Transportation,,,,SFDHL not competitive - cost base,,100.0,,,,,,Rick Gong,,,,,,Consumer,FMCG,,,False,,China,5000.0,CNY,,2021-05-11T10:44:42.0000000+00:00,2021-09-23T13:52:06Z,,20211017.0,,Y,,Not 5M
Z005029,Delivery and Warehousing Svc of Facial Gel,d2c45ccb-b17a-4e5f-914b-0a619246463b,NU Skin Enterprises,如新集团,2020-01-16T00:00:00,13.76,17.2,68.8,86.0,,,HK,FALSE,,,1.0,1.0,2013-06-17T16:00:00Z,2013-06-20T16:00:00Z,,False,Closed-Lost,,2013-06-20T16:00:00Z,,Xiaoyu Xu,,98D5R9,New from New,,Transportation,,,,,,,100.0,0.0,0.0,,,,,,,,,,Consumer,FMCG,submitted all pricings and finalizing all T&C in the SA,,,,Hongkong,,HKD,Delivery and warehousing svc of facial gel (short term),2020-01-16T03:28:49.0000000+00:00,2021-09-23T13:43:58Z,,20211017.0,,Y,,5M
Z009015,GNC VAS,bbc9c0f4-abb7-4088-905b-64353684591b,Mannings,万宁,2021-04-30T00:00:00,480.0,600.0,1600.0,2000.0,,,HK,FALSE,2022-05-30T16:00:00Z,2022-05-31T16:00:00Z,,12.0,2021-05-31T16:00:00Z,2021-05-31T16:00:00Z,,False,Closed-Lost,2022-05-31T16:00:00Z,,450000.0,AlvinSC Chan,New Business,,New from New,,Value-added service,Transportation,,,,SFDHL not competitive - cost base,,100.0,,,,,,Dennis Cheng (SF-DHL HK),,,,,,Consumer,FMCG,,,,,Hongkong,2000.0,HKD,,2020-12-17T06:47:13.0000000+00:00,2021-09-23T13:50:36Z,,20211017.0,,Y,,Not 5M
Z001729,Mars JX Co-packing Center,3afd21c4-eb2f-4eb0-89c8-0239f68ac7e2,Mars Wrigley Confectionary,玛氏 箭牌糖果,2020-01-17T00:00:00,1801.8,231.0,14235.0,1825.0,BCA-997CPV,Fully Approved,,FALSE,,,36.0,36.0,2013-08-30T16:00:00Z,2013-09-06T16:00:00Z,,False,Contract Signed,,2013-09-06T16:00:00Z,,Xiaoyu Xu,,997CPV,New from New,,,,,,,,,100.0,0.0,0.0,,,,,,,,,,Consumer,FMCG,Awarded,,,,China,,EUR,3 year co-packing contract in JX CDC,2020-01-12T08:22:57.0000000+00:00,2021-09-23T12:52:34Z,,20211017.0,,Y,,5M
Z008778,MARS RC成都仓配项目,50542e15-5f1a-eb11-a813-000d3a85408a,MARS ROYAL CANIN,玛氏 皇家狗粮,2020-12-29T00:00:00,200.0,200.0,2000.0,2000.0,,,CR,FALSE,2021-02-27T16:00:00Z,2021-02-28T16:00:00Z,,36.0,2021-03-30T16:00:00Z,2021-02-28T16:00:00Z,,False,Closed-Lost,2021-02-28T16:00:00Z,,450000.0,Rick Gong,New Business,,New from New,,Warehousing,Transportation,,,,SFDHL not competitive - Start-up Costs,,100.0,,,,,,Chloe Zhang (SF-DHL CN),,,,,,Consumer,FMCG,,,,,China,6000.0,CNY,,2020-10-30T03:35:05.0000000+00:00,2021-09-23T13:50:22Z,,20211017.0,,Y,,Not 5M
Z008777,MARS RC广州仓配项目,50542e15-5f1a-eb11-a813-000d3a85408a,MARS ROYAL CANIN,玛氏 皇家狗粮,2020-12-29T00:00:00,200.0,200.0,2000.0,2000.0,,,CR,FALSE,2021-03-30T16:00:00Z,2021-03-31T16:00:00Z,,36.0,2021-04-29T16:00:00Z,2021-03-31T16:00:00Z,,False,Closed-Lost,2021-03-31T16:00:00Z,,450000.0,Rick Gong,New Business,,New from New,,Warehousing,Transportation,,,,SFDHL not competitive - Start-up Costs,,100.0,,,,,,Chloe Zhang (SF-DHL CN),,,,,,Consumer,FMCG,,,,,China,6000.0,CNY,,2020-10-30T03:32:42.0000000+00:00,2021-09-23T13:50:21Z,,20211017.0,,Y,,Not 5M
Z004762,WH & TPT service for Wrigley,01712b15-da93-4d24-ad66-cfd3d63b1ff8,Wrigley,箭牌,2020-01-16T00:00:00,1245.7920000000001,1557.24,10886.096000000001,13607.62,,,HK,FALSE,,,36.0,36.0,2017-05-31T16:00:00Z,2017-07-09T16:00:00Z,,False,Closed-Lost,,2017-07-09T16:00:00Z,,Xiaoyu Xu,New Business,264768,New from New,,Warehousing,Transportation,,,,Benchmarking exercise,,100.0,,,,,,,,,,,,Consumer,FMCG,"2nd proposal submitted, pending for customer feedback.",,,,Hongkong,,HKD,"Wrigley is looking for 3PL to provide warehousing, domestic transportation & copacking service for Hong Kong market",2020-01-16T03:24:01.0000000+00:00,2021-09-23T13:38:36Z,,20211017.0,,Y,,Not 5M
Z001681,Qindao 1100 sqm warehouse and transportation,7853c708-c23d-42ec-8a4c-8ff6db8a3a6e,Avon,雅芳,2013-04-30T00:00:00,733.1999999999999,94.0,2644.2,339.0,BCA-93SBXL,Awaiting Approval,,FALSE,,2012-12-31T16:00:00Z,36.0,36.0,2013-04-29T16:00:00Z,,,False,Contract Signed,2015-12-31T16:00:00Z,,,Xiaoyu Xu,,93SBXL,Renewal,,Warehousing,,,,,,,100.0,0.0,0.0,,,,,,,,,,Consumer,FMCG,"Customer already oral award, waiting their CEO sign contract now.",,,,China,,EUR,Qindao warehouse and transportation,2020-01-12T08:21:53.0000000+00:00,2021-08-22T03:37:03Z,,20211017.0,,Y,,Not 5M
Z003241,DC/Transportation/B2C,75e578f0-0990-4716-b81a-203eaa0fa026,Nespresso,浓遇咖啡,2020-05-02T00:00:00,903.0,903.0,9120.0,9120.0,N200085,Approved,CR,TRUE,2021-03-30T16:00:00Z,2021-03-31T16:00:00Z,12.0,12.0,2019-12-30T16:00:00Z,2020-03-31T16:00:00Z,0.0,False,Contract Signed,2021-03-31T16:00:00Z,2020-07-31T16:00:00Z,,Grace Wu,New Business,292459,New from New,,Transportation,,,,,,0.0,100.0,,,,,,Grace Wu (SF-DHL CN),,,,,,Consumer,FMCG,,,,,China,9120.0,CNY,DC/Transportation/B2C,2020-01-12T09:37:26.0000000+00:00,2021-08-22T03:57:46Z,2020-04-03T01:28:16Z,20211017.0,2020-05-02T03:11:00Z,Y,,5M
Z002718,warehousing/export,28c67ab4-556d-4b11-aca4-706320643e0a,Fiji Water,斐济矿泉水,2020-06-23T00:00:00,0.0,0.0,,,,,CR,FALSE,,,,,2020-04-29T16:00:00Z,2020-05-30T16:00:00Z,0.0,False,Closed-Canceled,,2020-05-30T16:00:00Z,,Grace Wu,New Business,298623,New from New,,Warehousing,Transportation,,,Opportunity withdrawn by customer,,0.0,100.0,,,,,,Grace Wu (SF-DHL CN),,,,,,Consumer,FMCG,Guangzhou Nansha warehouse/export,,,,China,,CNY,"40,000 sq.m requirement in Nansha Port, and shipping export to USA",2020-01-12T09:26:52.0000000+00:00,2021-08-22T03:50:41Z,,20211017.0,,Y,,Not 5M
Z004098,China warehouse and distribution,75e578f0-0990-4716-b81a-203eaa0fa026,Nespresso,浓遇咖啡,2020-01-15T00:00:00,1000.0,1000.0,6000.0,6000.0,,,,FALSE,,,36.0,36.0,2017-07-16T16:00:00Z,2017-09-30T16:00:00Z,,False,Closed-Lost,,2017-09-30T16:00:00Z,,Xiaoyu Xu,New Business,241056,New from New,,Warehousing,Transportation,,,,SFDHL not competitive - cost base,,100.0,,,,,,,,,,,,Consumer,FMCG,RFQ process,,,,China,18000.0,CNY,warehouse and distribution for China domestic market,2020-01-12T09:54:56.0000000+00:00,2021-09-23T13:29:13Z,,20211017.0,,Y,,5M
Z002366,COFCO import wine SHA/BJ DC,526eb786-24f1-4311-b206-551b21cb9d6c,COFCO TTC,中粮丰通,2020-01-15T00:00:00,680.0,680.0,3400.0,3400.0,,,,FALSE,,,36.0,36.0,2015-09-29T16:00:00Z,2015-10-30T16:00:00Z,,False,Closed-Canceled,,2015-10-30T16:00:00Z,,Xiaoyu Xu,New Business,9YDB94,New from New,,Warehousing,Transportation,,,,,,100.0,0.0,0.0,,,,,,,,,,Consumer,FMCG,,,,,China,,CNY,temperate control warehouse in shanghai & beijing with 5-25 and 10-20 degree requirement.,2020-01-12T09:19:59.0000000+00:00,2021-09-23T13:00:11Z,,20211017.0,,Y,,Not 5M
Z003729,UL Hefei Interim DC,f4cbdabd-6a3b-4684-a603-8c665909bb42,UNILEVER,联合利华,2020-01-15T00:00:00,5265.0,675.0,40950.0,5250.0,,,,FALSE,,,24.0,24.0,2014-04-29T16:00:00Z,2014-07-29T16:00:00Z,,False,Closed-Lost,,2014-07-29T16:00:00Z,,Xiaoyu Xu,,9EV8DA,New from Existing,,Warehousing,Transportation,,,,SFDHL not competitive - cost base,,100.0,0.0,0.0,,,,,,,,,,Consumer,FMCG,proposal development,,,,China,,EUR,UL Hefei Interim DC,2020-01-12T09:47:27.0000000+00:00,2021-09-23T13:23:40Z,,20211017.0,,Y,,5M
Z008635,玛氏中国上海进出口服务招标,3afd21c4-eb2f-4eb0-89c8-0239f68ac7e2,Mars Wrigley Confectionary,玛氏 箭牌糖果,2020-09-21T00:00:00,200.0,200.0,2000.0,2000.0,,,CR,FALSE,2020-12-31T00:00:00Z,2021-01-01T00:00:00Z,,12.0,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,False,Closed-Lost,2021-01-01T00:00:00Z,,,Amy Yuan,New Business,,New from Existing,,Customs,Transportation,,,,No resources available to deliver the project,,50.0,50.0,,,,,Rick Gong,Amy Yuan (SF-DHL CN),,,,,Consumer,FMCG,,,,,China,2000.0,CNY,,2020-09-09T03:20:19.0000000+00:00,2021-09-23T13:50:02Z,,20211017.0,,Y,,5M
